"country_school","school","country","lat","lng","Nex","Npos"
"liberia-20439",20439,"liberia",6.876708333,-8.455416667,30,1
"liberia-20440",20440,"liberia",6.894319444,-8.515041667,29,2
"liberia-21441",21441,"liberia",7.0430105,-8.3596525,29,2
"liberia-21442",21442,"liberia",7.057597,-8.308666,30,0
"liberia-21443",21443,"liberia",7.1297635,-8.4684275,30,0
"liberia-21444",21444,"liberia",7.146249994,-8.563958111,30,3
"liberia-21445",21445,"liberia",7.182541667,-8.562541667,30,3
"liberia-21446",21446,"liberia",7.003194444,-8.337152778,30,5
"liberia-21447",21447,"liberia",7.050625,-8.454791667,30,3
"liberia-21448",21448,"liberia",7.0814861,-8.422069167,30,8
"liberia-21449",21449,"liberia",7.1456666,-8.5536805,30,0
"liberia-21450",21450,"liberia",7.187402,-8.50168,30,1
"liberia-21451",21451,"liberia",7.0241805,-8.3272916,30,1
"liberia-21452",21452,"liberia",7.0079305,-8.3102083,30,3
"liberia-21453",21453,"liberia",7.119847222,-8.403680556,30,0
"liberia-21454",21454,"liberia",7.20214995,-8.5504305,29,2
"liberia-21455",21455,"liberia",7.1307361,-8.57662495,30,2
"liberia-21456",21456,"liberia",7.118194,-8.550958,30,1
"liberia-21457",21457,"liberia",7.102097,-8.41643,30,2
"liberia-21458",21458,"liberia",7.1194722,-8.4999583,30,1
"liberia-21459",21459,"liberia",7.045986,-8.324319,30,3
"liberia-21460",21460,"liberia",7.152736,-8.48368,30,0
"liberia-22212",22212,"liberia",8.366595,-10.242425,30,0
"liberia-22213",22213,"liberia",8.3744,-10.20178,30,1
"liberia-22214",22214,"liberia",8.40806,-10.17879,30,2
"liberia-22215",22215,"liberia",8.396715,-10.262235,30,3
"liberia-22216",22216,"liberia",8.358985,-10.216955,30,5
"liberia-22217",22217,"liberia",8.49116,-10.158415,30,3
"liberia-22218",22218,"liberia",8.27961,-10.23641,28,4
"liberia-22219",22219,"liberia",8.454065,-10.17066,30,2
"liberia-23162",23162,"liberia",8.06266,-10.50682,30,2
"liberia-23163",23163,"liberia",8.061545,-10.50819,30,1
"liberia-23165",23165,"liberia",8.06385,-10.501595,30,1
"liberia-23167",23167,"liberia",8.02726,-10.57002,30,1
"liberia-23169",23169,"liberia",8.078675,-10.47307,30,0
"liberia-23170",23170,"liberia",8.03143,-10.560755,30,1
"liberia-24281",24281,"liberia",6.527944444,-10.35355,30,0
"liberia-24282",24282,"liberia",6.529013889,-10.35322222,30,0
"liberia-24283",24283,"liberia",6.530708333,-10.34969444,30,0
"liberia-24284",24284,"liberia",6.535055556,-10.34656111,30,0
"liberia-24285",24285,"liberia",6.53355555,-10.34675,30,0
"liberia-24287",24287,"liberia",6.53675,-10.35816667,30,0
"liberia-24288",24288,"liberia",6.535708333,-10.34480556,30,0
"liberia-24291",24291,"liberia",6.627097222,-10.28434722,30,0
"liberia-24292",24292,"liberia",6.695013889,-10.25986111,30,1
"liberia-24293",24293,"liberia",6.639361111,-10.23968056,30,0
"liberia-24294",24294,"liberia",6.732501667,-10.35433333,30,0
"liberia-24295",24295,"liberia",6.672377778,-10.35141667,30,0
"liberia-24296",24296,"liberia",6.538277778,-10.33997222,29,2
"liberia-24297",24297,"liberia",6.815805556,-10.22406944,30,0
"liberia-24298",24298,"liberia",6.534694444,-10.338625,25,2
"liberia-24299",24299,"liberia",6.689805556,-10.20804167,30,0
"liberia-24300",24300,"liberia",6.534513889,-10.34791667,30,0
"liberia-25261",25261,"liberia",8.421095,-9.75111,30,0
"liberia-25262",25262,"liberia",8.37753,-9.81475,30,2
"liberia-25263",25263,"liberia",8.3188,-9.723625,30,4
"liberia-25264",25264,"liberia",8.33773,-9.711985,30,2
"liberia-25265",25265,"liberia",8.428715,-9.736635,30,1
"liberia-25266",25266,"liberia",8.49208,-9.658775,30,2
"liberia-25267",25267,"liberia",8.462235,-9.669125,30,3
"liberia-25268",25268,"liberia",8.399765,-9.64527,30,0
"liberia-25269",25269,"liberia",8.45773,-9.774095,30,1
"liberia-25270",25270,"liberia",8.43314,-9.76906,30,2
"liberia-25271",25271,"liberia",8.246675,-9.777535,30,3
"liberia-25272",25272,"liberia",8.48615,-9.800485,30,3
"liberia-25273",25273,"liberia",8.27841,-9.718645,30,3
"liberia-25274",25274,"liberia",8.29205,-9.640795,30,5
"liberia-25275",25275,"liberia",8.33044,-9.73302,30,1
"liberia-25276",25276,"liberia",8.40876,-9.61126,30,8
"liberia-25277",25277,"liberia",8.42362,-9.77143,30,1
"liberia-25278",25278,"liberia",8.373785,-9.63714,30,0
"liberia-25279",25279,"liberia",8.36768,-9.909505,30,3
"liberia-26171",26171,"liberia",8.16079,-10.21493,30,1
"liberia-26172",26172,"liberia",8.338245,-10.092335,30,1
"liberia-26174",26174,"liberia",8.397855,-10.02526,30,2
"liberia-26176",26176,"liberia",8.220875,-10.17414,30,4
"liberia-26177",26177,"liberia",8.144645,-10.28893,30,2
"liberia-26178",26178,"liberia",8.13195,-10.081383,30,3
"liberia-26179",26179,"liberia",8.10542,-10.354585,30,2
"liberia-26180",26180,"liberia",8.34451,-10.0553,30,2
"liberia-26183",26183,"liberia",8.222445,-10.15413,30,0
"liberia-26184",26184,"liberia",8.148505,-10.23278,30,1
"liberia-26185",26185,"liberia",8.174695,-10.201195,30,4
"liberia-26186",26186,"liberia",8.293225,-10.133025,30,1
"liberia-26187",26187,"liberia",8.01561,-10.154015,30,2
"liberia-26188",26188,"liberia",8.110325,-10.091715,30,1
"liberia-26189",26189,"liberia",8.357075,-10.138985,30,3
"liberia-26190",26190,"liberia",8.28524,-10.086435,30,2
