longitude,latitude,elev_m,dist_to_water_m,bioclim1,bioclim4,bioclim12,bioclim15
40.4809624,6.431999,1225,7913,224.8375,752.7625,695.0125,97.5125
40.845265,6.431999,1055,3771,231.64,759.245,627.955,105.155
41.2095675,6.431999,853,3261,250.17,774.51,496.435,112.035
41.57387,6.431999,1037,564,247.0125,790.8775,487.9425,114.2325
41.9381726,6.431999,506,6893,276.3625,804.2,342.3875,121.7
42.3024751,6.431999,406,4243,285.2525,796.27,305.855,123.7025
42.6667776,6.431999,415,2476,284.215,793.0175,308.92,124.485
43.0310802,6.431999,417,4067,283.2525,754.2825,319.0475,122.0975
43.3953827,6.431999,398,4450,282.1,736.8875,331.875,122.075
43.7596853,6.431999,457,1877,275.7175,752.5025,357.0425,121.7175
44.1239878,6.431999,618,5550,262.5825,829.99,395.4825,123.65
44.4882903,6.431999,520,3655,266.1225,858.09,383.75,129.3
44.8525929,6.431999,580,20771,261.7875,836.75,351.65,128.45
45.2168954,6.431999,545,47481,263.7975,806.2325,306.0625,129.7025
45.5811979,6.431999,488,78616,265.5425,819.565,267.115,128.6025
45.9455005,6.431999,420,89828,269.2975,830.2325,227.3925,131.4675
46.309803,6.431999,374,74743,271.35,873.1375,203.1625,128.0875
34.6521218,6.7963015,650,3261,253.9825,793.61,1107.34,70.415
35.0164244,6.7963015,1859,142,189.255,724.0675,1509.0175,54.635
35.3807269,6.7963015,1134,6701,214.175,611.0925,1371.875,62.1375
35.7450294,6.7963015,1775,6808,186.205,690.0675,1744.41,42.7
36.109332,6.7963015,1123,3975,229.945,773.1925,1535.5,45.995
36.4736345,6.7963015,733,469,242.1975,812.985,1353.365,46.6575
36.8379371,6.7963015,1061,11172,220.2675,901.1175,1458.105,46.0225
37.2022396,6.7963015,1317,7099,219.92,926.0975,1301.2225,48.905
37.5665421,6.7963015,1736,13278,199.0875,1265.6125,1396.375,52.1
37.9308447,6.7963015,1500,402,210.5,974.5175,1117.55,50.0175
38.2951472,6.7963015,1841,7000,188.935,624.1025,1258.7025,45.05
38.6594497,6.7963015,2801,1297,132.03,708.8275,1217.4075,41.4825
39.0237523,6.7963015,2788,1221,129.225,651.9375,1067.95,46.425
39.3880548,6.7963015,3377,5250,109.81,642.7725,1075.845,44.985
39.7523573,6.7963015,3313,12986,86.7225,614.7725,1167.905,42.855
40.1166599,6.7963015,1260,503,207.9625,840.045,830.225,75.3375
40.4809624,6.7963015,1798,10377,189.7375,767.5125,952.1,85.0
40.845265,6.7963015,1404,6171,218.5775,780.9175,763.145,98.2325
41.2095675,6.7963015,1079,12575,237.89,774.825,587.7575,105.8
41.57387,6.7963015,1237,7157,235.1825,795.165,569.05,105.1425
41.9381726,6.7963015,537,7361,277.2125,865.7125,333.7125,118.275
42.3024751,6.7963015,633,332,271.99,845.4475,339.26,118.7
42.6667776,6.7963015,667,560,269.1375,815.33,342.7975,118.0775
43.0310802,6.7963015,608,1858,272.635,782.9125,333.695,116.635
43.3953827,6.7963015,554,1755,273.2625,758.2125,337.6,118.075
43.7596853,6.7963015,691,1072,262.9,776.5775,373.03,119.35
44.1239878,6.7963015,664,1863,259.8875,781.0225,382.1725,125.7025
44.4882903,6.7963015,556,886,262.45,804.42,380.2175,131.7675
44.8525929,6.7963015,590,725,260.0875,837.0375,344.5375,129.7
45.2168954,6.7963015,570,27093,261.1075,834.0675,301.965,127.95
45.5811979,6.7963015,510,58380,264.95,841.395,259.705,130.1
45.9455005,6.7963015,463,60926,266.8,862.595,225.2,130.7
46.309803,6.7963015,420,35377,268.95,908.475,197.175,130.95
46.6741055,6.7963015,375,33163,270.55,928.3075,175.2,134.3
34.2878193,7.1606041,473,7716,261.6275,982.8525,1171.23,74.4275
34.6521218,7.1606041,540,680,253.4575,853.4325,1216.0475,74.6425
35.0164244,7.1606041,884,3656,238.9625,678.93,1256.3575,75.8075
35.3807269,7.1606041,1167,3714,214.3475,551.62,1396.3775,72.8625
35.7450294,7.1606041,1716,6119,191.7925,615.81,1737.205,49.6425
36.109332,7.1606041,1877,6632,182.8,640.46,1869.51,42.8475
36.4736345,7.1606041,2501,3176,157.26,767.7025,1855.31,43.9825
36.8379371,7.1606041,1689,7840,202.8425,759.79,1549.6875,48.45
37.2022396,7.1606041,1247,1147,213.13,823.865,1383.2225,54.8225
37.5665421,7.1606041,1437,1417,216.2625,882.9875,1233.0,57.6125
37.9308447,7.1606041,1961,1958,188.1,952.8475,1253.5575,50.8
38.2951472,7.1606041,2115,416,178.32,744.175,1129.745,50.9275
38.6594497,7.1606041,2226,10940,164.115,771.715,1076.3525,51.7525
39.0237523,7.1606041,2701,5004,132.95,741.5,1013.15,55.075
39.3880548,7.1606041,2346,2470,151.3225,873.92,843.605,63.0475
39.7523573,7.1606041,3313,4549,112.9075,681.08,1067.6675,47.45
40.1166599,7.1606041,2381,355,150.8,827.66,1013.6275,53.0675
40.4809624,7.1606041,2208,2465,169.4375,770.125,1111.9,72.125
40.845265,7.1606041,1488,2590,206.485,793.71,905.31,91.1075
41.2095675,7.1606041,1135,4253,234.2675,829.77,631.0425,96.3
41.57387,7.1606041,837,4778,257.05,873.4175,448.4775,105.1
41.9381726,7.1606041,729,8314,268.4875,916.8625,357.0375,112.55
42.3024751,7.1606041,591,2172,275.3075,932.4,311.99,116.305
42.6667776,7.1606041,970,3261,254.3475,838.7925,385.105,107.8575
43.0310802,7.1606041,797,7761,265.4975,818.4225,341.8275,110.8825
43.3953827,7.1606041,891,5584,258.425,813.5625,366.3625,111.8375
43.7596853,7.1606041,873,987,250.835,830.595,385.2375,111.9775
44.1239878,7.1606041,648,423,262.2675,773.0,348.3925,122.3275
44.4882903,7.1606041,967,9307,241.0,874.6475,389.615,117.93
44.8525929,7.1606041,820,25123,249.3625,875.0875,344.0625,122.85
45.2168954,7.1606041,650,21945,257.7,896.6975,289.0,125.6325
45.5811979,7.1606041,573,18912,260.7975,919.09,249.5,127.485
45.9455005,7.1606041,523,45588,262.9325,962.1375,216.7,129.295
46.309803,7.1606041,441,7556,266.275,982.2,188.2125,132.1
46.6741055,7.1606041,468,11259,265.1,1015.8725,172.9,130.9
47.0384081,7.1606041,425,45412,266.1,1052.4275,160.1275,131.6225
33.9235168,7.5249066,424,1356,267.9,1156.9125,1133.7625,76.8625
34.2878193,7.5249066,494,3749,260.8125,1099.8625,1270.1625,76.0
34.6521218,7.5249066,539,9332,253.9375,994.8125,1315.225,76.0
35.0164244,7.5249066,800,7284,235.3875,750.6125,1346.275,76.0
35.3807269,7.5249066,1981,3865,180.925,767.4875,1772.8,56.8125
35.7450294,7.5249066,2120,828,173.9875,726.7,1906.825,52.0875
36.109332,7.5249066,2027,3122,189.35,731.825,1789.6375,51.3625
36.4736345,7.5249066,1518,3939,194.0875,788.1625,1650.6875,53.6125
36.8379371,7.5249066,2014,5163,178.0,795.25,1677.9625,57.4375
37.2022396,7.5249066,2965,1739,154.6375,862.5625,1531.15,55.95
37.5665421,7.5249066,1815,1181,196.75,892.625,1219.1875,61.0
37.9308447,7.5249066,2188,2331,174.7375,831.7375,1066.8625,56.85
38.2951472,7.5249066,1803,5943,188.225,766.075,885.425,57.5
38.6594497,7.5249066,1652,2977,198.375,868.3625,659.85,63.0875
39.0237523,7.5249066,2901,4587,125.0625,860.875,1132.875,57.125
39.3880548,7.5249066,2947,5788,121.45,781.7375,1071.9625,56.5
39.7523573,7.5249066,1448,1171,196.375,1060.0875,952.925,58.6625
40.1166599,7.5249066,1325,762,194.4875,986.05,1008.2125,59.725
40.4809624,7.5249066,1603,4680,206.9375,964.625,930.75,70.6875
40.845265,7.5249066,1457,8130,212.4375,856.1375,863.6125,78.7875
41.2095675,7.5249066,1108,1345,234.65,882.5625,631.5125,85.35
41.57387,7.5249066,918,3128,248.9375,866.6,493.3375,92.175
41.9381726,7.5249066,741,612,263.125,916.125,377.0,101.5
42.3024751,7.5249066,712,634,267.7125,934.225,329.4125,107.075
42.6667776,7.5249066,781,1356,266.3125,863.175,330.1125,104.225
43.0310802,7.5249066,888,7510,258.2625,844.7375,357.4,102.275
43.3953827,7.5249066,1058,18913,246.875,868.875,391.25,100.5
43.7596853,7.5249066,746,991,261.5375,848.35,332.2125,110.5
44.1239878,7.5249066,991,2712,245.2875,899.375,369.65,107.3
44.4882903,7.5249066,895,34509,247.6875,911.6125,342.3375,115.7875
44.8525929,7.5249066,806,28366,250.8125,952.875,308.75,118.875
45.2168954,7.5249066,709,716,254.55,985.4375,269.425,123.9375
45.5811979,7.5249066,624,21448,257.5875,1028.1375,234.575,125.125
45.9455005,7.5249066,598,29771,258.6125,1071.0,208.5625,125.5875
46.309803,7.5249066,584,7673,257.9375,1108.3125,187.3125,128.6875
46.6741055,7.5249066,554,17569,258.4125,1141.9375,170.275,128.0
47.0384081,7.5249066,483,19449,260.9125,1187.7625,154.55,133.7625
47.4027106,7.5249066,462,2906,259.2375,1275.0125,149.3375,131.9375
33.1949117,7.8892091,412,6934,277.8725,1421.9525,975.36,86.1725
33.5592142,7.8892091,415,426,273.75,1332.7,1009.6375,80.9375
